vocabulary,term_id,term,label,parent,definition,ontology_version
mimicry_type,TERM:MIMICRY_TYPE:BATESIAN,batesian,Batesian mimicry,protective,"A palatable or harmless mimic resembles an unpalatable or dangerous model, deceiving predators that have learned to avoid the model.",1.1
mimicry_type,TERM:MIMICRY_TYPE:MULLERIAN,mullerian,Müllerian mimicry,protective,"Two or more defended species converge on a shared warning signal, spreading the cost of predator education among them.",1.1
mimicry_type,TERM:MIMICRY_TYPE:MERTENSIAN,mertensian,Mertensian mimicry,protective,"A more deadly species mimics a less dangerous one, hypothesised to arise when moderately venomous prey benefits from mimicking a milder model.",1.1
mimicry_type,TERM:MIMICRY_TYPE:AGGRESSIVE,aggressive,Aggressive mimicry,,A predator or parasite resembles a harmless or attractive signal-bearer to approach its own prey or hosts.,1.1
mimicry_type,TERM:MIMICRY_TYPE:REPRODUCTIVE,reproductive,Reproductive mimicry,,"Mimicry that exploits the reproductive behaviour of another species, typically by imitating mates or reproductive resources.",1.1
mimicry_type,TERM:MIMICRY_TYPE:SEXUAL_DECEPTION,sexual_deception,Sexual deception,reproductive,"A mimic imitates the mate or mating signals of its receiver (often chemically and visually) to exploit their mating behaviour, as in pollinator sexual deception.",1.1
mimicry_type,TERM:MIMICRY_TYPE:BROOD,brood,Brood mimicry,reproductive,"A mimic exploits the parental care of another species, as in brood parasitism where the parasite's offspring are reared by the host.",1.1
mimicry_type,TERM:MIMICRY_TYPE:EGG,egg,Egg mimicry,brood,"Mimicry of host eggs by a brood parasite's egg, reducing rejection by the incubating host.",1.1
mimicry_type,TERM:MIMICRY_TYPE:SOCIAL,social,Social mimicry,,A mimic infiltrates a social species' colony by imitating its members or their chemical identity.,1.1
mimicry_type,TERM:MIMICRY_TYPE:PARASITIC,parasitic,Parasitic mimicry,social,A social parasite mimics its host species to gain acceptance inside the host colony or family unit.,1.1
mimicry_type,TERM:MIMICRY_TYPE:FLORAL,floral,Floral mimicry,reproductive,"A mimic imitates the flowers or floral signals of another species to attract pollinators without offering a reward, or a plant imitates insect signals.",1.1
mimicry_type,TERM:MIMICRY_TYPE:FOOD_DECEPTION,food_deception,Food deception,reproductive,A mimic imitates food or food-related signals to exploit the foraging behaviour of receivers.,1.1
mimicry_type,TERM:MIMICRY_TYPE:PROTECTIVE,protective,Protective mimicry,,Mimicry in which the mimic gains protection from predation or aggression by resembling something the receiver avoids or ignores.,1.1
mimicry_type,TERM:MIMICRY_TYPE:AUTOMIMICRY,automimicry,Automimicry,,"Within one species, palatable individuals or body parts resemble unpalatable ones, so the receiver cannot distinguish them.",1.1
mimicry_type,TERM:MIMICRY_TYPE:MASQUERADE,masquerade,Masquerade,,"A mimic prevents recognition as prey by resembling an inedible object or organism of no interest to the receiver, rather than a warning signal.",1.1
mimicry_type,TERM:MIMICRY_TYPE:UNCERTAIN,uncertain,Uncertain,,The mimicry interpretation is unclear or contested — recorded with the dispute visible.,1.1
mimicry_type,TERM:MIMICRY_TYPE:OTHER,other,Other,,A mimicry pattern that does not fit the established categories.,1.1
signal_modality,TERM:SIGNAL_MODALITY:VISUAL,visual,Visual,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:MORPHOLOGICAL,morphological,Morphological,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:COLOUR,colour,Colour,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:PATTERN,pattern,Pattern,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:BEHAVIOURAL,behavioural,Behavioural,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:LOCOMOTOR,locomotor,Locomotor,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:ACOUSTIC,acoustic,Acoustic,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:CHEMICAL,chemical,Chemical,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:OLFACTORY,olfactory,Olfactory,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:TACTILE,tactile,Tactile,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:VIBRATIONAL,vibrational,Vibrational,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:MULTIMODAL,multimodal,Multimodal,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:UNKNOWN,unknown,Unknown,,,1.1
signal_modality,TERM:SIGNAL_MODALITY:OTHER,other,Other,,,1.1
model_kind,TERM:MODEL_KIND:ORGANISM,organism,Another organism (species/taxon as model),,,1.1
model_kind,TERM:MODEL_KIND:ENVIRONMENT,environment,"Environment or background (foliage, bark, sand, water)",,,1.1
model_kind,TERM:MODEL_KIND:OBJECT,object,"Inanimate object (bird droppings, stones, dew)",,,1.1
model_kind,TERM:MODEL_KIND:SELF,self,Same species / self (automimicry contexts),,,1.1
model_kind,TERM:MODEL_KIND:UNKNOWN,unknown,Unknown,,,1.1
model_kind,TERM:MODEL_KIND:OTHER,other,Other,,,1.1
receiver_role,TERM:RECEIVER_ROLE:PREDATOR,predator,Predator,,,1.1
