public_id,mimic,model,receiver,mimicry_type,signal_modalities,evidence_grade,kingdom_flow,model_kind,knowledge_status,mimicry_summary,data_status
MIMICRY:000001,Myia fugax,Formicidae,predator,Batesian mimicry,visual;morphological;locomotor;behavioural,E2,Animalia → Animalia,organism,reported,A hoverfly resembles an ant in morphology and behaviour.,DEMO
MIMICRY:000002,Ophrys apifera,female bee,male bee,sexual deception,visual;chemical,E3,Plantae → Animalia,organism,reported,The orchid flower mimics a female bee to attract pollinating males.,DEMO
MIMICRY:000003,Erythrolamprus aesculapii,Micrurus,predator,Batesian mimicry,visual;pattern;colour,E2,Animalia → Animalia,organism,reported,A harmless snake resembles a venomous coral snake.,DEMO
MIMICRY:000004,Cuculus canorus,Acrocephalus scirpaceus (eggs),incubating host parents,egg mimicry (brood parasitism),visual;pattern,E3,Animalia → Animalia,organism,reported,"The common cuckoo lays eggs whose appearance often matches the host clutch, reducing rejection by incubating hosts.",DEMO
MIMICRY:000005,Photuris versicolor,Photinus (flash signals),male Photinus fireflies,aggressive mimicry,visual;acoustic,E3,Animalia → Animalia,organism,reported,"Females imitate the mating flashes of Photinus females to lure responding males, which are then eaten.",DEMO
MIMICRY:000006,Plagiotremus rhinorhynchos,Labroides dimidiatus,client reef fish,aggressive mimicry,visual;morphological;behavioural,E2,Animalia → Animalia,organism,reported,"The bluestriped fangblenny resembles the cleaner wrasse in shape, colour and dance to approach clients and bite scales and tissue.",DEMO
MIMICRY:000007,Heliconius melpomene,Heliconius erato,predator,Müllerian mimicry,visual;colour;pattern,E2,Animalia → Animalia,organism,reported,"Co-distributed wing colour patterns are shared among unpalatable Heliconius species, spreading the cost of predator education.",DEMO
MIMICRY:000008,Boquila trifoliolata,neighbouring plant leaves,herbivores,leaf mimicry,visual;morphological,E1,Plantae → Plantae,organism,reported,A climbing vine whose leaves resemble those of the species it climbs — the mechanism and receiver response remain debated.,DEMO
MIMICRY:000009,Puccinia monoica,flowering plant inflorescences,insect visitors,floral mimicry (pseudoflowers),visual;chemical;olfactory,E2,Fungi → Plantae,organism,reported,A rust fungus reprograms host tissue into sweet-scented pseudoflowers that attract insects which disperse spores.,DEMO
MIMICRY:000010,Myrmarachne plataleoides,Oecophylla smaragdina,predator,Batesian mimicry,visual;morphological;locomotor;behavioural,E2,Animalia → Animalia,organism,reported,A jumping spider with an ant-like body plan and gait lives among and resembles weaver ants.,DEMO
MIMICRY:000011,Eristalis tenax,Apis mellifera,predator,Batesian mimicry,visual;colour;behavioural,E3,Animalia → Animalia,organism,reported,The drone fly resembles the honeybee in coloration and behaviour — receiver response has been studied experimentally.,DEMO
MIMICRY:000012,Limenitis archippus,Danaus plexippus,predator,Batesian / Müllerian (debated),visual;colour;pattern,E3,Animalia → Animalia,organism,reported,"The viceroy resembles the monarch — long taught as Batesian, its interpretation is debated since both species show some unpalatability — recorded here with the dispute visible.",DEMO
MIMICRY:000013,Extatosoma tiaratum,foliage and twigs,visual predators,masquerade (leaf/plant mimicry),visual;morphological;locomotor,E2,Animalia → environment,environment,reported,The spiny leaf insect resembles foliage and dried leaves — nymphs additionally curl their abdomens to imitate ants before switching to leaf resemblance.,DEMO
MIMICRY:000014,Phrynarachne,bird droppings,visual predators and prey,masquerade (object mimicry),visual;colour,E2,Animalia → object,object,reported,"These crab spiders resemble bird droppings in coloration and silk-mark arrangement, hiding from predators and luring dung-seeking insects.",DEMO
MIMICRY:000015,Heliconius erato,Heliconius melpomene,predator,Müllerian mimicry,visual;colour;pattern,E2,Animalia → Animalia,organism,reported,"Müllerian resemblance is mutualistic: H. erato is equally a co-mimic pointing the other way, so each species is both model and mimic and the pair is flagged for curator review under the no-global-uniqueness policy.",DEMO
